id,title,release_date,overview,rating,poster_url,genres,cast,directors
1415669,Sanatorium,2025-03-19,"Despite a war raging close by, mud treatments and electroshock therapies continue at Kuyalnik Sanatorium, an enormous 1970s brutalist building on the shores of Odesa, where a small group search for love, healing, and happiness.",0.0,https://image.tmdb.org/t/p/w500/w1BW9WY08A1vW8quAHsGOXZ5ZL1.jpg,Documentary,Unknown,Gar O'Rourke
1418780,The First Soul : Song Written Again,2025-03-19,,0.0,https://image.tmdb.org/t/p/w500/54gbLstKHuJ6XzxBiMlMfGjKMTf.jpg,"Drama, Music","Park Cheol-min, Kim Dong-wan, Kim Jeong-yeon, Yoon Dong-won, Kim Young-woong",Cho Jung-lae
1425373,The Golden Spurtle,2025-03-19,"In a quaint Scottish village in the Highlands, contenders from around the globe gather to compete for the title of World Porridge Champion armed only with oats, salt and water. As the ailing Porridge Chieftain's tenure ends, he embarks on a mission to find a successor. Amidst intense rivalries and the charm of eccentric locals, this documentary delves into the legacy of the village and unveils a captivating culinary spectacle.",0.0,https://image.tmdb.org/t/p/w500/aCpSUhDhvl2OAeGjwQIpdaufxWl.jpg,Documentary,Unknown,Constantine Costi
1425370,The Castle,2025-03-19,"In an isolated neighborhood of Palermo, three kids turn an abandoned building into a secret shelter. Here they can escape the violence of the outside world and share their dreams.",0.0,https://image.tmdb.org/t/p/w500/xSLhU5fGom6ahUBQHUVyRShTF5i.jpg,Documentary,Unknown,"Danny Biancardi, Stefano La Rosa, Virginia Nardelli"
1432098,Women's Gukgeuk: Enduring on the Edge of Time,2025-03-19,,0.0,https://image.tmdb.org/t/p/w500/oS54iVHVgkJeMI1fPd7R9DDOsH2.jpg,Documentary,Unknown,Yoo Su-yeon
1434009,We Live Here,2025-03-19,"The film takes place in the desolate Kazakh steppe, on the grounds of a former nuclear testing site, where two ecologists conduct research to identify radioactive areas unfit for habitation. Nearby, an eyewitness to the nuclear tests writes down his personal memories, while his son struggles to save his sick daughter. Through the intimate story of three generations of one family, the film reflects on humanity's collective history and the dire situation facing our future. The steppe serves as a metaphor for our planet, now perilously close to becoming a vast nuclear wasteland.",0.0,https://image.tmdb.org/t/p/w500/uXhG2CGyP2hIUXoD7Yh0sl5uXft.jpg,Documentary,Unknown,Zhanana Kurmasheva
1437603,3 Days,2025-03-19,,0.0,https://image.tmdb.org/t/p/w500/sWk86BWKlnum8YfkQx6yb4aMTwE.jpg,Drama,"Yoo Seung-ho, Kim Dong-wook, Seo Jeong-yeon",Kim Sun-su
1441966,Take the Money and Run,2025-03-19,The (art)work of a genius or simple theft? Artist Jens Haaning made headlines around the world when he pocketed a fortune in protest against the conditions of the art world - and exhibited his action as a work of art.,0.0,https://image.tmdb.org/t/p/w500None,Documentary,Unknown,Ole Juncker
1442431,Legítimo,2025-03-19,,5.5,https://image.tmdb.org/t/p/w500/7WqrPjiyPCUUji4GdQII0LVLCr0.jpg,Documentary,"Andrés Manuel López Obrador, Jesusa Rodríguez",Rubelio Morales Zea
1442918,Wild Strawberries,2025-03-19,"Overworked New York architect Daphne Bello arrives in the Rhodope Mountains to inherit the abandoned house of her grandmother, a woman she never knew, who recently passed away at the age of 102. As she searches for the truth about her long-deceased Bulgarian father, Daphne clashes with her eccentric local cousin Orlin, who is eager to rid her of the supposedly worthless property—while keeping secret the unique mineral spring flowing beneath it. Unraveling the dramatic history of her father’s lineage, still alive in the memories of the village elders, Daphne discovers an unexpected opportunity to rediscover herself.",8.0,https://image.tmdb.org/t/p/w500/mJrJSzrLP8MiCtBjPVKE29QCQ5Q.jpg,Drama,"Vanina Kondova, Ivan Yurukov, Neno Koinarski, Nikola Dodov, Vasil Binev",Tatyana Pandurska
1445168,I Exist,2025-03-19,A group of young LGBT+ people from Central Africa talk about their living conditions and their hopes.,3.5,https://image.tmdb.org/t/p/w500/gjYD2D41kQdIYhi91fqo7M6BhM.jpg,Unknown,Unknown,Espoir Chokola
1262495,Sariri,2025-03-19,"In La Lágrima, a desertic mining lost town, women live under the strict rules of patriarchy. Dina (16), pressed by an unwanted pregnancy, plans to escape. But when she finds out her sister Sariri (11), has to initiate womanhood after the arrival of her menarche, she’ll have to decide if they’ll escape together through the desert.",4.5,https://image.tmdb.org/t/p/w500/7jij0dVQBagcXboNr3M9FQRwcxn.jpg,Drama,"Martina González, Catalina Ríos, Paola Lattus",Laura Donoso
898271,"Something Old, Something New, Something Borrowed",2025-03-19,"A working-class family in Buenos Aires runs an underground sports betting operation, which becomes matriarchal after the father's death.",8.5,https://image.tmdb.org/t/p/w500/thz7YtbeigHazKeDkmD3QyxQlBv.jpg,Drama,"Maribel Felpeto, Alejandro Menéndez, Alejandra Cánepa, Juliana Simoes Risso, Hugo Felpeto",Hernán Rosselli
